"site","Acroloxidae","Asellidae","Baicaliidae","Benedictidae","Brandtia_latissima","Brandtia_parasitica_parasitica","Caddisflies","Cryptoropus_inflatus","Cryptoropus_pachytus","Cryptoropus_rugosus","Eulimnogammarus_capreolus","Eulimnogammarus_cruentes","Eulimnogammarus_cyaneus","Eulimnogammarus_grandimanus","Eulimnogammarus_juveniles","Eulimnogammarus_maackii","Eulimnogammarus_marituji","Eulimnogammarus_verucossus","Eulimnogammarus_viridis_viridis","Eulimnogammarus_vittatus","Flatworms","Leeches","Maackia","Pallasea_brandtia_brandita","Pallasea_brandtii_tenera","Pallasea_cancelloides","Pallasea_cancellus","Pallasea_viridis","Planorbidae","Poekilogammarus_crassimus","Poekilogammarus_ephippiatus","Poekilogammarus_juveniles","Poekilogammarus_megonychus_perpolitus","Poekilogammarus_pictus","Valvatidae"
"BGO-1",0,2.33333333333333,13.6666666666667,14.3333333333333,0.333333333333333,0,3.33333333333333,4,1.66666666666667,20.3333333333333,1,1.33333333333333,12,0.666666666666667,81,6,0.666666666666667,6.33333333333333,8.66666666666667,18.6666666666667,1,7.66666666666667,0,0,0,5.66666666666667,0.666666666666667,0,16.6666666666667,23.3333333333333,0.666666666666667,205.666666666667,1,0,4.66666666666667
"BGO-2",0.666666666666667,10.3333333333333,7.66666666666667,4.33333333333333,14.3333333333333,0,72,13.6666666666667,0,12.3333333333333,0,3,3,9.33333333333333,125.666666666667,15,0,15.6666666666667,6.66666666666667,16.3333333333333,0,7.33333333333333,0,0,0,4,3.33333333333333,0,26.3333333333333,68.3333333333333,10.3333333333333,297,6,0,35.6666666666667
"BGO-3",0,0,0.333333333333333,0.666666666666667,0.333333333333333,0,2.33333333333333,4.66666666666667,0.333333333333333,2,0.333333333333333,0,2.33333333333333,0,11.3333333333333,0.333333333333333,0,10.3333333333333,0.333333333333333,1,0.666666666666667,7,0,0,0,5.66666666666667,0.666666666666667,0,3.66666666666667,50.6666666666667,65.3333333333333,118,14.6666666666667,0,1.66666666666667
"BK-1",1.33333333333333,0,0,0,11.3333333333333,0,13,32,0,1,0,0,5.66666666666667,0,69,18.3333333333333,12.6666666666667,26,4.33333333333333,16.3333333333333,15.3333333333333,30.6666666666667,0,0,0,8.33333333333333,0,0,0.333333333333333,122.666666666667,18.6666666666667,491.333333333333,29,4.66666666666667,2
"BK-2",0,8.5,29,4,41,0,5.5,15,0,9.5,0,9,3,7.5,293,10.5,0,18.5,5.5,4,12,12.5,0,0,0,0,0,6.5,28.5,42,4.5,104,2,0,17.5
"BK-3",0.333333333333333,2.33333333333333,1.33333333333333,2,10.6666666666667,0,9.66666666666667,11,0,1.33333333333333,0,0,3.33333333333333,3.66666666666667,253,12,0.666666666666667,11.3333333333333,0.333333333333333,14.3333333333333,0.333333333333333,28.6666666666667,0,0,0,1,4,0,1,37.3333333333333,8.66666666666667,154.666666666667,1.33333333333333,0,0
"EM-1",0,0,2,0,3,0,25.6666666666667,29,0,0,0,0,162.666666666667,16,192.333333333333,17.3333333333333,2.66666666666667,36.6666666666667,4,11.3333333333333,10.3333333333333,15.3333333333333,0,0,0,0,0.666666666666667,0,1.33333333333333,102.666666666667,13,340,3.33333333333333,6,6.66666666666667
"KD-1",5,0,10,11,39,0,0,12,0,5,0,0,10,2,436,16,0,27,13,24,0,12,0,0,0,0,7,0,39,88,4,482,4,1,33
"KD-2",3.5,8.5,27.5,0,29,0,24,7,0,0,0,19,6.5,0,390.5,10,1,9.5,16,12,3.5,14.5,0,0,0,0,7.5,0,0,27,5,76.5,2.5,2.5,62.5
"LI-1",0,0,0,0,3,0,2,5,0,1,0,0,35,0,858,1,0,31,0,8,1,10,0,0,0,0,0,0,1,20,4,292,0,0,0
"LI-2",0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0.333333333333333,9,0,2,0.333333333333333,0,6,0.333333333333333,63.3333333333333,0.333333333333333,0,10.6666666666667,2.66666666666667,10,0.333333333333333,5.66666666666667,0,0,0,2,2.33333333333333,0,0.666666666666667,43,29,482,3.66666666666667,0.333333333333333,0
"LI-3",0,0,0,0,4,0,2.66666666666667,2.33333333333333,0,0,0,0,46.3333333333333,4,398,8,0,36.6666666666667,5.33333333333333,28.3333333333333,6.33333333333333,23,0,0,0,6,0,0,0,81,10.6666666666667,356.666666666667,1.66666666666667,0,0
"MS-1",0,0,3,0,35.6666666666667,7,102,1,0,0,0,0,13.6666666666667,0,64,9.66666666666667,0,53,1.66666666666667,10.3333333333333,8,12,0,0,0,1,0.333333333333333,0,1.33333333333333,89.6666666666667,16,108.666666666667,21.6666666666667,14.3333333333333,7.66666666666667
"SM-1",0,0.666666666666667,0.666666666666667,0,10,3.33333333333333,24.3333333333333,0,0,0,0,1.33333333333333,18,0,374.333333333333,18.6666666666667,0,22.3333333333333,4.33333333333333,6.66666666666667,3.66666666666667,19,0.666666666666667,2,1,0,0,14.3333333333333,1.33333333333333,72,10,345.666666666667,11.3333333333333,41.3333333333333,8.33333333333333
