"site","lat","long","depth_m","distance_to_shore_m","air_temp_celsius","surface_temp_celsius","mid_temp_celsius","bottom_temp_celsius"
"BK-1",51.90316,105.07404,0.7,10,18,14,13,13
"BK-2",51.90365,105.069,0.9,17.5,19,13,13,13
"BK-3",51.90536,105.0957,0.8,10,18,14,14,14
"BGO-1",52.02693,105.40102,0.9,18,20,13,13,13
"BGO-2",52.0197,105.37707,1.1,14,19,14,14,14
"BGO-3",52.02649,105.43577,0.7,21,18,16,16,16
"OS-1",51.98559,105.47237,900,NA,15,NA,NA,NA
"KD-1",51.92646,105.24504,0.8,20.75,23,NA,NA,NA
"KD-2",51.91807,105.21456,0.9,14.5,23,16,15,15
"MS-1",51.89863,105.15017,0.6,10.5,21,17,16,16
"SM-1",51.87152,104.98006,0.9,11.5,21,15,15,15
"LI-1",51.86825,104.83042,0.6,8.9,19,14,14,14
"LI-2",51.84626,104.87356,0.8,9.4,21,15,15,15
"LI-3",51.85407,104.86216,0.7,9.25,19.5,15,14,14
"EM-1",51.86005,104.93999,0.7,15.5,24.5,14,14,14
"OS-2",51.8553,104.8148,1300,NA,21,NA,NA,NA
"OS-3",51.859108,105.0769,1400,5000,NA,14.5,NA,NA
