"Site","mean_volume_filtered","mean_total_microplastics","mean_microplastic_density","mean_fragment_density","mean_fiber_density","mean_bead_density"
"BGO-1",1.4,5,3.57142857142857,1.19047619047619,2.38095238095238,0
"BGO-2",1.4,8,5.71428571428571,0.952380952380952,4.76190476190476,0
"BGO-3",1.05,3,2.85714285714286,1.26984126984127,1.58730158730159,0
"BK-1",1.05,8,7.61904761904762,2.61904761904762,5,0
"BK-2",1.4,5.66666666666667,4.04761904761905,2.85714285714286,1.19047619047619,0
"BK-3",1.4,8.66666666666667,6.19047619047619,3.0952380952381,3.0952380952381,0
"EM-1",1.4,7.66666666666667,5.47619047619048,0,5.47619047619048,0
"KD-1",1.4,7.66666666666667,5.47619047619048,0.238095238095238,5.23809523809524,0
"KD-2",1.4,5.66666666666667,4.04761904761905,0.714285714285714,3.33333333333333,0
"LI-1",1.4,8.66666666666667,6.19047619047619,3.80952380952381,1.66666666666667,0.714285714285714
"LI-2",1.4,6.33333333333333,4.52380952380952,1.42857142857143,3.0952380952381,0
"LI-3",1.4,6,4.28571428571429,1.19047619047619,2.38095238095238,0.714285714285714
"MS-1",1.4,5,3.57142857142857,0.714285714285714,2.85714285714286,0
"OS-1",1.4,13.3333333333333,9.52380952380952,2.38095238095238,7.14285714285714,0
"OS-2",1.4,5,3.57142857142857,0.238095238095238,3.33333333333333,0
"OS-3",1.4,4.66666666666667,3.33333333333333,0.476190476190476,2.85714285714286,0
"SM-1",1.4,6.33333333333333,4.52380952380952,0,4.52380952380952,0
