"site","mean_nh4_mg_dm3","mean_no3_mg_dm3","mean_tp_mg_dm3","mean_tpo43_mg_dm3"
"BGO-1",0.0145,0.085,0.0145,0.044
"BGO-2",0.001,0.08,0.0125,0.0385
"BGO-3",0.001,0.09,0.0145,0.044
"BK-1",0.003,0.085,0.0175,0.054
"BK-2",0.003,0.085,0.017,0.052
"BK-3",0.068,0.09,0.015,0.045
"EM-1",0.1125,0.185,0.03,0.092
"KD-1",0.0035,0.065,0.012,0.0375
"KD-2",0.001,0.1,0.0145,0.0445
"LI-1",0.004,0.08,0.0125,0.0385
"LI-2",0.091,0.095,0.025,0.0775
"LI-3",0.0035,0.08,0.025,0.077
"MS-1",0.001,0.09,0.02,0.061
"OS-1",0.001,0.085,0.02,0.061
"OS-2",0.001,0.08,0.025,0.078
"OS-3",0.001,0.08,0.0255,0.0795
"SM-1",0.001,0.085,0.048,0.1475
