"site","desmidales","diatom","pediastrum","spirogyra","tetrasporales","ulothrix"
"BGO-1",0,255.666666666667,1,110,51.6666666666667,80
"BGO-2",1.33333333333333,441.666666666667,1,0,42.6666666666667,12.6666666666667
"BGO-3",2,247,0,11.3333333333333,99.6666666666667,62
"BK-1",0,180,0,1,22,100.333333333333
"BK-2",0.333333333333333,301,0,40.3333333333333,42,27.3333333333333
"BK-3",5.33333333333333,205.333333333333,0,4.66666666666667,67.3333333333333,22
"EM-1",1.33333333333333,140.333333333333,0.666666666666667,1.66666666666667,37.3333333333333,177.333333333333
"KD-1",1,274.666666666667,0.333333333333333,1.66666666666667,117.666666666667,66.3333333333333
"KD-2",5,256,1,0,45,0
"LI-1",0.666666666666667,253.333333333333,0,10.3333333333333,29.6666666666667,140.333333333333
"LI-2",0.333333333333333,157.333333333333,0,6,70,91
"LI-3",1.33333333333333,127.333333333333,0.333333333333333,105,34,157.333333333333
"MS-1",3.33333333333333,252.666666666667,0,0,64,3
"SM-1",2,307,0,0,43.6666666666667,11
