"Site","Genus","Species","total_lipid_mg_per_g","deviation"
"BK-2","Drapa",NA,49.9,3.7
"SM-1","Eulimnogammarus","verrucosus",1.8,0
"MS-1","Eulimnogammarus","verrucosus",6.6,1.3
"BK-2","Eulimnogammarus","verrucosus",283.1,5.1
"BGO-2","Eulimnogammarus","verrucosus",331.6,32.5
"BGO-1","Eulimnogammarus","verrucosus",185.6,0
"BGO-1","Pallasea","cancellus",101.3,5.3
"BGO-2","Pallasea","cancellus",141.5,1.3
"BK-2","Pallasea","cancellus",137,0
"BK-2","Splash","zone",54.9,2.7
"SM-1","Splash","zone",27.7,1.4
"MS-1","Splash","zone",47.8,1.3
"EM-1","Splash","zone",39.5,2.8
"BGO-1","Splash","zone",61.9,0
"BGO-2","Splash","zone",16.7,1.8
"KD-2","Splash","zone",64,1.2
"KD-2","Drapa",NA,48.8,1.4
"MS-1","Drapa",NA,80.1,2.8
"EM-1","Drapa",NA,60.3,4.1
"BGO-1","Drapa",NA,41.6,1.4
"BGO-2","Drapa",NA,45,1.4
"SM-1","Drapa",NA,46.4,0
"LI-1","Eulimnogammarus","vitatus",146.4,1.4
"LI-1","Eulimnogammarus","verrucosus",181.1,3.9
"BGO-1","Eulimnogammarus","vitatus",188.4,12.1
"EM-1","Eulimnogammarus","vitatus",155,0
"SM-1","Eulimnogammarus","vitatus",157.5,4.1
"BGO-2","Eulimnogammarus","vitatus",166.2,3.9
"MS-1","Hyalella",NA,93.7,0
"MS-1","Eulimnogammarus","vitatus",187.5,18.2
"KD-2","Snails",NA,67.9,2.5
"SM-1","Eulimnogammarus","cyaneus",106.9,0
"SM-1","Hyalella",NA,94.6,0
"EM-1","Eulimnogammarus","cyaneus",90.8,11.2
"BK-2","Snails",NA,40.6,0
"BGO-1","Snails",NA,49.5,0
"BGO-1","Hyalella",NA,76.8,3.2
"BGO-2","Hyalella",NA,68.1,1.6
