Sample_ID,SOUTH_DEV_DIST,NORTH_DEV_DIST,POP_SOUTH_DEV,POP_NORTH_DEV,SOUTH_UP,NORTH_UP,SOUTH_SHORE_DIST,NORTH_SHORE_DIST,SOUTH_SHORE_AREA,NORTH_SHORE_AREA,,,
BK-1,0.22,18.61,80,600,2,1,1.19,1.65,0.33,2.43,0.3454,835.2195961,2.921800675
BGO-3,1.54,0,600,0,1,0,1.65,0,2.43,0,2.4178,168.5033532,2.226608548
BK-2,10.44,0.22,2000,100,3,2,4.61,1.19,2.03,0.33,16.3908,277.0988555,2.442634732
BK-3,0.94,17.74,80,600,2,1,1.19,1.65,0.33,2.43,1.4758,195.4769267,2.291095502
BGO-1,18.61,1.54,80,600,2,1,1.19,1.65,0.33,2.43,29.2177,9.873633054,0.994476983
BGO-2,17.54,1.14,80,600,2,1,1.19,1.65,0.33,2.43,27.5378,10.47595845,1.020193767
KD-1,8.29,10.39,80,600,2,1,1.19,1.65,0.33,2.43,13.0153,22.16505563,1.345668826
KD-2,6.63,12.05,80,600,2,1,1.19,1.65,0.33,2.43,10.4091,27.7146774,1.442709828
MS-1,3.4,15.28,80,600,2,1,1.19,1.65,0.33,2.43,5.338,54.04362092,1.732744439
SM-1,5.23,4.48,2000,100,3,2,4.61,1.19,2.03,0.33,8.2111,553.1380596,2.742833542
OS-1,,,,,0,0,,,,,0,#DIV/0!,#DIV/0!
OS-2,,,,,0,0,,,,,0,#DIV/0!,#DIV/0!
EM-1,3.34,6.37,2000,100,3,2,4.61,1.19,2.03,0.33,5.2438,866.1413328,2.937588764
LI-1,0,1.68,0,2000,0,3,0,4.61,0,2.03,0,#DIV/0!,#DIV/0!
LI-2,0.73,9.71,2000,100,3,2,4.61,1.19,2.03,0.33,1.1461,3962.893222,3.598012371
LI-3,1.68,0.73,2000,2000,3,2,4.61,4.61,2.03,2.03,2.6376,1721.971459,3.236025949
OS-3,,,,,,,,,,,,,
