site,rep,counts,diatom,spirogyra,spirogyra.filament,ulothrix,ulothrix.filament,tetrasporales,date,pediastrum,desmidales,Lyngbya
BGO3,1,3,99,20,6,81,17,13,20180917,0,0,0
BGO2,1,1,280,0,0,0,0,33,20180918,2,2,0
LI2,3,8,27,5,2,88,11,164,20180918,0,1,3
EM1,1,5,25,2,2,224,11,55,20180919,0,4,2
MS1,1,4,136,0,0,9,3,152,20180927,0,10,1
BK3,1,4,133,13,5,53,12,93,20180927,0,5,0
LI3,2,1,30,201,13,292,5,11,20180928,0,1,0
LI2,2,2,237,13,4,83,5,31,20181001,0,0,3
LI1,1,2,141,4,2,167,5,27,20181001,0,2,9
KD1,2,2,205,5,2,143,5,34,20181002,0,3,19
BGO1,3,2,125,290,56,152,10,33,20181004,2,0,22
BK1,2,1,95,0,0,202,15,22,20181008,0,0,0
BK2,2,1,351,0,0,13,3,43,20181008,0,1,4
KD2,1,8,256,0,0,0,0,45,20181011,1,5,0
