"Site","NH4_mg_dm3","NO3_mg_dm3","PO4_mg_dm3","Caffeine","Acetaminophen","Paraxanthine","Cotinine","distance_weighted_population","Categorical_distance_weighted_population"
"BK-1",0.003,0.085,0.054,0.011,0.001,0.002,0,2304.03858367421,"High"
"BK-2",0.003,0.085,0.052,0.007,0.001,0,0,1891.55803950494,"Mod"
"BK-3",0.068,0.09,0.045,0.003,0.001,0,0,1231.23394561438,"Mod"
"BGO-1",0.0145,0.085,0.044,0,0.002,0,0,838.538489133501,"Low"
"BGO-2",0.001,0.08,0.0385,0,0.001,0,0,611.909951049154,"Low"
"BGO-3",0.001,0.09,0.044,0.005,0.003,0,0,624.454979698983,"Low"
"OS-1",0.001,0.085,0.061,0,0.001,0,0.001,455.773263239494,"Low"
"KD-1",0.0035,0.065,0.0375,0.003,0.001,0,0,662.4151010475,"Low"
"KD-2",0.001,0.1,0.0445,0.001,0.001,0,0,720.548373418736,"Low"
"MS-1",0.001,0.09,0.061,0.064,0.035,0.015,0,903.673332996544,"Low"
"SM-1",0.001,0.085,0.1475,0.042,0.012,0.005,0,2146.21770788777,"Mod"
"LI-1",0.004,0.08,0.0385,0.05,0.04,0.006,0.002,5403.20866122281,"High"
"LI-2",0.091,0.095,0.0775,0.001,0.007,0,0,14792.5147161685,"High"
"LI-3",0.0035,0.08,0.077,0.027,0.002,0.002,0.003,29511.7322973189,"High"
"EM-1",0.1125,0.185,0.092,0.029,0.014,0.002,0,3389.94925265423,"High"
"OS-2",0.001,0.08,0.078,0.033,0.001,0.004,0.003,4340.00017836668,"High"
"OS-3",0.001,0.08,0.0795,0.001,0.001,0,0,1221.42419767607,"Mod"
