"Site","Latitude","Longitude","Depth_m","Distance_to_shore_m","Air_Temperature_C","Surface_Temperature_C","Midpoint_Temperature_C","Bottom_Temperature_C","NH4_mg_dm3","NO3_mg_dm3","PO4_mg_dm3","Caffeine","Acetaminophen","Paraxanthine","Cotinine","Total_PPCP_Concentration","Microplastic_density_microplastics_per_L","Fragment_density_microplastics_per_L","Fiber_density_microplastics_per_L","Bead_density_microplastics_per_L"
"BK-1",51.90316,105.07404,0.7,10,18,14,13,13,0.003,0.085,0.054,0.011,0.001,0.002,0,0.014,7.61904761904762,2.61904761904762,5,0
"BK-2",51.90365,105.069,0.9,17.5,19,13,13,13,0.003,0.085,0.052,0.007,0.001,0,0,0.008,4.04761904761905,2.85714285714286,1.19047619047619,0
"BK-3",51.90536,105.0957,0.8,10,18,14,14,14,0.068,0.09,0.045,0.003,0.001,0,0,0.004,6.19047619047619,3.0952380952381,3.0952380952381,0
"BGO-1",52.02693,105.40102,0.9,18,20,13,13,13,0.0145,0.085,0.044,0,0.002,0,0,0.002,3.57142857142857,1.19047619047619,2.38095238095238,0
"BGO-2",52.0197,105.37707,1.1,14,19,14,14,14,0.001,0.08,0.0385,0,0.001,0,0,0.001,5.71428571428571,0.952380952380952,4.76190476190476,0
"BGO-3",52.02649,105.43577,0.7,21,18,16,16,16,0.001,0.09,0.044,0.005,0.003,0,0,0.008,2.85714285714286,1.26984126984127,1.58730158730159,0
"OS-1",51.98559,105.47237,900,NA,15,NA,NA,NA,0.001,0.085,0.061,0,0.001,0,0.001,0.002,9.52380952380952,2.38095238095238,7.14285714285714,0
"KD-1",51.92646,105.24504,0.8,20.75,23,NA,NA,NA,0.0035,0.065,0.0375,0.003,0.001,0,0,0.004,5.47619047619048,0.238095238095238,5.23809523809524,0
"KD-2",51.91807,105.21456,0.9,14.5,23,16,15,15,0.001,0.1,0.0445,0.001,0.001,0,0,0.002,4.04761904761905,0.714285714285714,3.33333333333333,0
"MS-1",51.89863,105.15017,0.6,10.5,21,17,16,16,0.001,0.09,0.061,0.064,0.035,0.015,0,0.114,3.57142857142857,0.714285714285714,2.85714285714286,0
"SM-1",51.87152,104.98006,0.9,11.5,21,15,15,15,0.001,0.085,0.1475,0.042,0.012,0.005,0,0.059,4.52380952380952,0,4.52380952380952,0
"LI-1",51.86825,104.83042,0.6,8.9,19,14,14,14,0.004,0.08,0.0385,0.05,0.04,0.006,0.002,0.098,6.19047619047619,3.80952380952381,1.66666666666667,0.714285714285714
"LI-2",51.84626,104.87356,0.8,9.4,21,15,15,15,0.091,0.095,0.0775,0.001,0.007,0,0,0.008,4.52380952380952,1.42857142857143,3.0952380952381,0
"LI-3",51.85407,104.86216,0.7,9.25,19.5,15,14,14,0.0035,0.08,0.077,0.027,0.002,0.002,0.003,0.034,4.28571428571429,1.19047619047619,2.38095238095238,0.714285714285714
"EM-1",51.86005,104.93999,0.7,15.5,24.5,14,14,14,0.1125,0.185,0.092,0.029,0.014,0.002,0,0.045,5.47619047619048,0,5.47619047619048,0
"OS-2",51.8553,104.8148,1300,NA,21,NA,NA,NA,0.001,0.08,0.078,0.033,0.001,0.004,0.003,0.041,3.57142857142857,0.238095238095238,3.33333333333333,0
"OS-3",51.859108,105.0769,1400,5000,NA,14.5,NA,NA,0.001,0.08,0.0795,0.001,0.001,0,0,0.002,3.33333333333333,0.476190476190476,2.85714285714286,0
