"Taxon","Isotope","min","Q1","Mean","Median","Q3","max"
"Eulimnogammarus_cyaneus","C13",-18.9,-17.13,-15.865,-15.31,-14.045,-13.94
"Eulimnogammarus_cyaneus","N15",7.4,7.595,7.67,7.68,7.755,7.92
"Eulimnogammarus_verrucosus","C13",-15.1,-14.8675,-14.2966666666667,-14.095,-13.765,-13.71
"Eulimnogammarus_verrucosus","N15",6.42,6.74,7.07,7.08,7.3525,7.77
"Eulimnogammarus_vitatus","C13",-14.18,-14.0675,-13.83,-13.81,-13.5725,-13.52
"Eulimnogammarus_vitatus","N15",6.79,6.955,7.125,7.18,7.35,7.35
"Pallasea_cancellus","C13",-12.89,-12.535,-12.2566666666667,-12.18,-11.94,-11.7
"Pallasea_cancellus","N15",7.22,7.275,7.36,7.33,7.43,7.53
"Sp._zone","C13",-20.21,-14.53,-14.548,-14.32,-12.62,-11.06
"Sp._zone","N15",0.77,1.72,2.402,2.14,3.62,3.76
